timestamp,question,topic,classification_confidence,validation_passed,retry_count,execution_latency_ms,row_count,cache_hit,response_generated
2026-07-17T10:16:57.439735+00:00,Did PROMO_001 improve sales in South region?,promotion,0.8,True,1,88.61,1,False,True
2026-07-17T10:17:03.357624+00:00,How effective was PROMO_002 compared to baseline?,promotion,0.8,True,1,148.55,1,False,True
2026-07-17T10:17:08.157491+00:00,Did inventory reduce in West region?,inventory,0.8,True,0,113.69,132,False,True
2026-07-17T10:17:12.057345+00:00,Which products have the highest stock levels?,inventory,0.8,True,0,38.1,400,False,True
2026-07-17T10:17:15.779638+00:00,Compare North and South sales.,unknown,0.0,False,0,719.1,0,False,False
2026-07-17T10:17:18.845937+00:00,Which region generated the highest revenue?,unknown,0.0,False,0,64.34,0,False,False
2026-07-17T10:17:21.940611+00:00,Which campaign performed best?,unknown,0.0,False,0,91.31,0,False,False
2026-07-17T10:17:25.056104+00:00,Which category generated highest revenue?,unknown,0.0,False,0,112.21,0,False,False
2026-07-17T10:17:28.145920+00:00,Tell me something interesting.,unknown,0.0,False,0,86.28,0,False,False
2026-07-17T10:17:31.226546+00:00,Analyze everything.,unknown,0.0,False,0,77.85,0,False,False
2026-07-17T10:23:21.004034+00:00,Did PROMO_001 improve sales in South region?,promotion,0.96,True,0,97.06,1,False,True
2026-07-17T10:23:21.395600+00:00,Did inventory reduce for Electronics in West region?,inventory,0.94,True,0,113.39,28,False,True
2026-07-17T10:23:21.781810+00:00,Compare North and South sales,region_comparison,0.9,True,0,11.02,185,True,True
2026-07-17T10:23:21.817149+00:00,Which SKU generated the most revenue?,promotion,0.4,False,0,0.0,0,False,False
2026-07-17T10:23:21.847001+00:00,Tell me something interesting,promotion,0.4,False,0,0.0,0,False,False
2026-07-17T10:23:22.018647+00:00,Compare North and South sales,region_comparison,0.9,False,2,0.0,0,False,False
2026-07-17T10:23:22.051992+00:00,How did South perform?,promotion,0.4,False,0,0.0,0,False,False
2026-07-17T10:23:22.080793+00:00,What about North?,promotion,0.4,False,0,0.0,0,False,False
2026-07-17T10:23:57.103092+00:00,Did PROMO_001 improve sales in South region?,promotion,0.96,True,0,89.89,1,False,True
2026-07-17T10:24:00.262410+00:00,How effective was PROMO_002 compared to baseline?,promotion,0.95,True,0,32.72,1,False,True
2026-07-17T10:24:03.411302+00:00,Did inventory reduce in West region?,inventory,0.92,True,0,44.11,132,False,True
2026-07-17T10:24:06.542983+00:00,Which products have the highest stock levels?,inventory,0.93,True,0,29.48,400,False,True
2026-07-17T10:24:09.681629+00:00,Compare North and South sales.,region_comparison,0.9,True,0,4.08,185,True,True
2026-07-17T10:24:12.809037+00:00,Which region generated the highest revenue?,region_comparison,0.91,True,0,27.58,1,False,True
2026-07-17T10:24:16.082258+00:00,Which campaign performed best?,campaign_impact,0.88,False,2,0.0,0,False,False
